202310131526,202310131526,Category,[Clustering]
1000,root,-1,"[1002, 1001]",[],0
1001,경기,1000,"[1038, 1039, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1052, 1053, 1054, 1055, 1056]",[],1
1002,서울,1000,"[1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037]",[],1
1003,가평군,1002,[],"[481, 482]",2
1004,강남구,1002,[],"[411, 412, 413, 414, 436, 437, 464, 518, 682, 683, 369]",2
1005,강동구,1002,[],"[349, 350, 351, 352, 465, 483, 484, 519, 574, 623, 647, 684, 685]",2
1006,강북구,1002,[],"[353, 354, 415, 438, 485, 486, 520, 548, 549, 605, 606, 648, 649]",2
1007,강서구,1002,[],"[355, 356, 357, 358, 416, 417, 466, 467, 501, 521, 522, 607, 650, 689]",2
1008,계양구,1002,[],"[523, 575, 624]",2
1009,관악구,1002,[],"[364, 365, 366, 367, 368, 369, 370, 371, 119, 372, 419, 420, 421, 441, 442, 471, 525, 611, 653, 654]",2
1010,광진구,1002,[],"[376, 377, 378, 445, 446, 447, 474, 490, 526, 527, 528, 529, 578, 613, 655]",2
1011,구로구,1002,[],"[379, 380, 382, 383, 384, 425, 448, 449, 475, 491, 579, 627, 662]",2
1012,금천구,1002,[],"[390, 391, 392, 450, 451, 452, 493, 532, 560, 561]",2
1013,남구,1002,[],"[394, 395, 562, 594, 614, 615, 663]",2
1014,남동구,1002,[],"[453, 495, 509, 533, 563, 411, 616, 629, 630, 656]",2
1015,노원구,1002,[],"[398, 399, 400, 401, 429, 455, 456, 457, 511, 535, 536, 580, 581, 582, 632, 633, 634, 657, 665]",2
1016,도봉구,1002,[],"[402, 403, 404, 430, 458, 496, 497, 512, 537, 565, 596, 617, 635, 666]",2
1017,동구,1002,[],"[583, 597]",2
1018,동대문구,1002,[],"[405, 406, 431, 432, 459, 538, 539, 566, 584, 598, 636, 637, 667]",2
1019,동작구,1002,[],"[408, 409, 410, 434, 460, 479, 498, 513, 540, 585, 586, 599, 639, 640]",2
1020,마포구,1002,[],"[435, 461, 462, 463, 499, 514, 541, 567, 568, 569, 600, 601, 641, 668, 669]",2
1021,부평구,1002,[],"[500, 542, 543, 570, 587, 602, 642, 643, 670, 671, 688]",2
1022,서구,1002,[],"[515, 516, 517, 544, 571, 588, 603, 618, 658, 672, 679]",2
1023,서대문구,1002,[],"[545, 546, 517, 547, 572, 573, 589, 590, 604, 619, 79, 620, 677]",2
1024,서초구,1002,[],"[153, 154, 241, 381, 424, 621, 622, 644, 645, 646, 659, 673, 674, 680]",2
1025,성동구,1002,[],"[0, 1, 2, 82, 83, 112, 175, 176, 198, 199, 220, 244, 263, 279, 280, 296, 313]",2
1026,성북구,1002,[],"[3, 4, 5, 6, 7, 84, 113, 134, 156, 177, 178, 200, 221, 222, 223, 281, 282, 283, 297, 314]",2
1027,송파구,1002,[],"[8, 9, 10, 11, 12, 13, 14, 85, 86, 114, 115, 135, 179, 180, 201, 202, 224, 225, 226, 227, 264, 284, 285, 298, 299, 315, 331]",2
1028,양천구,1002,[],"[25, 26, 27, 28, 29, 30, 31, 32, 90, 91, 92, 93, 117, 118, 138, 139, 140, 158]",2
1029,양평군,1002,[],"[33, 34, 94, 233, 247]",2
1030,연수구,1002,[],"[35, 141, 159, 185, 207, 248, 269, 286]",2
